Hand,Card 1,Card 2,Card 3,Card 4,Card 5,Hand_Evaluated,Winning Percentage
533,AD,10D,6S,3H,KH,High Card,0.321
534,JH,6S,5S,5C,10D,Pair,0.6236
535,9C,AD,3H,6H,9S,Pair,0.751
536,6D,10C,2H,6C,5H,Pair,0.6366
537,4S,5H,AD,7D,2C,High Card,0.3392
538,AC,JD,9S,JH,8D,Pair,0.8238
539,JH,10S,10C,8D,10D,Three-of-a-Kind,0.985
540,9C,5D,10S,7S,10C,Pair,0.7664
541,6D,AC,8S,JC,3H,High Card,0.323
542,4S,9H,7S,10H,KC,High Card,0.1876
543,QC,5C,3H,9H,8H,High Card,0.0986
544,9H,AS,2D,JH,8D,High Card,0.3224
545,7S,9D,AD,KS,5S,High Card,0.3348
546,4D,5C,KC,AD,AH,Pair,0.9198
547,2S,KH,QC,AS,JC,High Card,0.3338
548,QC,9C,JS,2D,10S,High Card,0.0988
549,9H,5S,8S,3H,6D,High Card,0.0052
550,7S,KD,6H,3C,3S,Pair,0.5476
551,4D,9S,5H,4H,QH,Pair,0.5908
552,2S,2H,4D,6S,9C,Pair,0.5148
553,10C,JC,3D,5D,8S,High Card,0.0452
554,7H,7S,2C,4D,4S,Two Pairs,0.9308
555,5S,2D,QC,8D,AS,High Card,0.3276
556,2D,JS,7H,10H,5H,High Card,0.042
557,QH,6H,9H,9C,KC,Pair,0.7638
558,10C,2C,8H,6S,7H,High Card,0.0164
559,7H,JS,7D,10C,2D,Pair,0.6926
560,5S,6D,JD,QC,JH,Pair,0.8156
561,2D,2S,3C,JS,8H,Pair,0.5054
562,QH,10H,2C,QD,7C,Pair,0.8392
563,8C,6C,AS,4S,AD,Pair,0.9288
564,5D,2S,KS,KC,KD,Three-of-a-Kind,0.994
565,3S,10D,JH,AH,10C,Pair,0.7988
566,KD,6S,10H,3C,8H,High Card,0.1932
567,10H,AH,7D,2D,5C,High Card,0.3378
568,8C,10C,6D,4S,2S,High Card,0.0152
569,5D,5H,5C,JD,3S,Three-of-a-Kind,0.9742
570,3S,AD,4S,5S,8C,High Card,0.3366
571,KD,10S,3S,6C,6H,Pair,0.6414
572,10H,5H,AH,7H,3D,High Card,0.3378
573,6C,AC,JH,7C,KS,High Card,0.3274
574,3D,9H,10D,8H,9D,Pair,0.7548
575,AS,5D,9D,8S,8C,Pair,0.7292
576,JC,AS,8C,9D,4H,High Card,0.3282
577,8H,9H,7C,JS,AD,High Card,0.333
578,6C,5C,4S,10D,JS,High Card,0.0456
579,3D,KH,3S,JH,7D,Pair,0.5368
580,AS,9D,AH,KC,6C,Pair,0.9302
581,JC,5S,KH,QH,2H,High Card,0.178
582,8H,KH,QD,AC,KS,Pair,0.907
583,4S,9C,JD,2D,9S,Pair,0.7452
584,AD,4H,8C,2S,7H,High Card,0.3288
585,QS,KD,7S,3D,4C,High Card,0.1864
586,9C,9S,6S,4H,KH,Pair,0.7438
587,6H,4D,4H,4C,10D,Three-of-a-Kind,0.9712
588,4S,KC,3H,5H,9S,High Card,0.182
589,AD,8H,2D,7C,5H,High Card,0.3292
590,QS,4D,QD,6D,2C,Pair,0.8518
591,9C,KS,JC,8S,JH,Pair,0.8294
592,6H,8D,10C,7D,KH,High Card,0.1906
593,4S,4C,9S,7S,8C,Pair,0.579
594,QD,QH,8S,10C,3H,Pair,0.8458
595,9H,8D,6H,KC,10C,High Card,0.1836
596,7C,4S,3H,JC,10S,High Card,0.04
597,4H,QD,2D,QH,8D,Pair,0.8418
598,2S,8C,AC,QS,5S,High Card,0.351
599,QD,3H,KC,KD,AH,Pair,0.9126
600,9H,QC,QS,2S,JC,Pair,0.8408
601,7C,8S,JS,AD,5S,High Card,0.3426
602,4D,3D,7H,2H,6D,High Card,0
603,2S,QC,6H,4C,3S,High Card,0.0934
604,10D,7H,5D,3H,QH,High Card,0.101
605,7H,3C,4D,5S,9C,High Card,0.0032
606,5C,QS,3C,4D,8S,High Card,0.0938
607,2D,7D,2C,6S,4D,Pair,0.4958
608,KS,3C,QS,7D,AC,High Card,0.3332
609,10D,JH,JS,6H,10H,Two Pairs,0.9524
610,7H,7C,9H,8C,JC,Pair,0.7018
611,5C,3S,8D,9H,6S,High Card,0.0054
612,2D,JD,7D,9C,KS,High Card,0.1924
613,KS,7C,6C,10D,QC,High Card,0.1792
614,8C,2H,3C,QS,8H,Pair,0.7122
615,5H,JC,2S,JD,7C,Pair,0.792
616,3C,7S,AS,KS,4S,High Card,0.343
617,KD,QH,AC,9S,KS,Pair,0.907
618,JS,9S,JH,KH,10C,Pair,0.8222
619,8C,4H,8D,2C,6H,Pair,0.6862
620,5H,KC,7D,3H,5D,Pair,0.6036
621,3C,9S,6C,3S,2S,Pair,0.5232
622,KD,4D,5C,JD,KH,Pair,0.889
623,JS,KS,4S,8C,QD,High Card,0.1762
624,6C,8H,2H,5C,6H,Pair,0.6242
625,3H,4C,QH,6H,3D,Pair,0.5466
626,AS,KS,JD,6C,6H,Pair,0.6724
627,JD,8D,10D,7H,9D,Straight,0.9962
628,9S,4S,9C,6C,8D,Pair,0.719
629,6C,QH,8C,8D,4H,Pair,0.6958
630,3H,8C,7S,10S,AD,High Card,0.3318
631,AS,3H,4S,JD,JS,Pair,0.8336
632,JD,QD,2H,10H,7H,High Card,0.0982
633,8H,8S,AH,QC,6C,Pair,0.7286
634,4C,3H,KD,KH,2H,Pair,0.8842
635,AH,QC,QD,KC,10H,Pair,0.884
636,QS,7H,JC,AD,9S,High Card,0.3356
637,9D,3D,8C,3S,5H,Pair,0.5434
638,6H,QS,7S,2D,4C,High Card,0.0982
639,4C,7H,5H,3H,KH,High Card,0.1928
640,AH,3C,4H,10D,JC,High Card,0.3344
641,QS,JH,3D,4H,7S,High Card,0.0976
642,9D,7D,2D,6C,5H,High Card,0.0056
643,6H,3S,QC,5D,2C,High Card,0.0896
644,2C,JH,JC,7S,QS,Pair,0.8266
645,QD,7C,10S,8D,JD,High Card,0.09
646,10S,2H,9S,8S,7S,High Card,0.0178
647,7D,JD,7H,9C,3H,Pair,0.6792
648,4H,7S,6H,10H,KC,High Card,0.1876
649,2C,2D,3D,10C,10S,Two Pairs,0.9464
650,QD,JC,2D,JH,6D,Pair,0.8256
651,10S,6H,AC,KS,5S,High Card,0.3272
652,7C,2D,KS,QD,AH,High Card,0.3376
653,4H,JS,QS,AS,JC,Pair,0.8424
654,KC,6D,8H,KD,8S,Two Pairs,0.965
655,10D,2C,7H,AH,6D,High Card,0.3402
656,8S,10H,6D,3C,6H,Pair,0.6392
657,5C,6D,5D,2H,QH,Pair,0.6006
658,2H,2S,4C,4S,9C,Two Pairs,0.922
659,KC,10D,3C,5D,6S,High Card,0.1848
660,10D,6C,KS,5S,4D,High Card,0.1848
661,8S,AH,QS,6D,AC,Pair,0.9258
662,5C,10C,10H,7H,AD,Pair,0.7786
663,2H,6S,9H,7C,7D,Pair,0.672
664,JS,AD,8D,8H,6S,Pair,0.7244
665,8D,10C,7C,2D,JS,High Card,0.0402
666,6S,5H,4C,9D,QC,High Card,0.0942
667,3C,AC,3S,JS,8H,Pair,0.5526
668,KH,10S,2S,QD,5D,High Card,0.1874
669,JS,5D,KH,QS,4S,High Card,0.1872
670,8D,AC,QH,KC,KD,Pair,0.9046
671,5H,9H,JD,QH,10C,High Card,0.096
672,3C,5C,8D,AC,6H,High Card,0.3404
673,KH,AS,7C,2H,5D,High Card,0.3362
674,9S,9D,6C,2S,4C,Pair,0.7236
675,6D,5C,5S,3D,JH,Pair,0.5922
676,3H,KH,4S,5S,8C,High Card,0.183
677,AC,9C,2H,4C,4H,Pair,0.5578
678,JH,5S,QD,5H,3D,Pair,0.599
679,9S,KD,JD,7C,KS,Pair,0.8902
680,6D,9S,10C,6H,9H,Two Pairs,0.9434
681,3H,4H,9C,8S,6C,High Card,0.0062
682,AC,JC,8S,9D,4H,High Card,0.3284
683,JD,7S,9S,AD,8C,High Card,0.335
684,7S,2D,3H,10D,JS,High Card,0.0364
685,4D,JS,2H,JH,7H,Pair,0.8026
686,AH,6H,AD,JC,4C,Pair,0.9242
687,QC,2C,KD,QH,3S,Pair,0.864
688,9D,JS,QC,QD,8H,Pair,0.8504
689,7S,6D,9C,KD,9S,Pair,0.7438
690,4C,2S,8S,5H,10H,High Card,0.0162
691,AH,10H,7S,AD,4C,Pair,0.9246
692,QC,6C,5H,2H,AS,High Card,0.3248
693,9D,AH,4D,4C,10D,Pair,0.59
694,5S,10D,3D,3H,7S,Pair,0.536
695,2C,6S,KC,5C,3H,High Card,0.1806
696,QH,AH,QC,6D,2C,Pair,0.8724
697,10C,JS,6S,QS,KS,High Card,0.1758
698,7D,5H,10S,8D,9D,High Card,0.0152
699,5S,AD,8H,9S,5C,Pair,0.637
700,2C,10S,7H,8C,3H,High Card,0.0156
701,QH,5H,4D,9H,KC,High Card,0.185
702,10S,AC,3D,9C,KC,High Card,0.3284
703,7D,9H,2C,10H,6D,High Card,0.0156
704,3S,5D,AC,QS,5C,Pair,0.6028
705,KC,AS,KS,JD,AH,Two Pairs,0.97
706,10H,9H,JH,KS,JC,Pair,0.826
707,8S,5C,8H,AD,KD,Pair,0.7246
708,5D,KH,7D,4D,8S,High Card,0.1908
709,2H,9D,6D,2C,3C,Pair,0.5014
710,KC,5S,5C,3H,QH,Pair,0.6034
711,10H,KD,4C,3S,9D,High Card,0.1738
712,8S,9C,3S,4D,6S,High Card,0.0058
713,5D,4H,KS,6S,4D,Pair,0.5922
714,KH,KD,JH,5D,AC,Pair,0.9092
715,JC,9S,10H,6H,10C,Pair,0.7896
716,8H,4D,9D,8C,7D,Pair,0.7034
717,6S,KC,8D,7H,4S,High Card,0.1834
718,3D,8H,7C,9C,2D,High Card,0.0054
719,KH,4D,4S,8D,QC,Pair,0.5864
720,JC,KS,3S,10S,8H,High Card,0.1822
721,8D,AH,JD,5D,5C,Pair,0.6176
722,6S,4C,KH,JS,4S,Pair,0.5768
723,3D,QH,QD,QC,KH,Three-of-a-Kind,0.9916
724,JH,8D,9D,KH,10C,High Card,0.1862
725,9C,4S,8C,KC,6H,High Card,0.1928
726,6D,QD,7C,AH,3D,High Card,0.3364
727,4S,8C,6S,3S,2S,High Card,0.0008
728,AC,3H,5S,2D,JH,High Card,0.3306
729,JH,QC,3H,4S,8C,High Card,0.096
730,9C,8S,KH,5C,4H,High Card,0.1962
731,6D,3D,QD,4H,5H,High Card,0.0958
732,4S,QC,JC,6C,KS,High Card,0.1794
733,AC,7H,10C,9H,7S,Pair,0.7088
734,9H,3C,9S,7S,6C,Pair,0.7346
735,7C,QS,8S,8D,3S,Pair,0.6986
736,4D,7D,4H,8S,AD,Pair,0.5896
737,2S,3C,3H,9D,JS,Pair,0.5226
738,QC,JH,2D,10H,7H,High Card,0.0992
739,9H,7C,AD,10C,4C,High Card,0.3334
740,7S,3S,KC,JH,10S,High Card,0.1814
741,4D,JD,QC,KC,QD,Pair,0.8586
742,2S,7S,9S,QD,AS,High Card,0.3296
743,QC,2H,8S,AS,5H,High Card,0.3348
744,7H,JC,6H,2D,2C,Pair,0.496
745,5S,7S,5H,AH,AS,Two Pairs,0.9704
746,2D,4D,3C,10D,4H,Pair,0.547
747,QH,9S,3C,4H,7C,High Card,0.0996
748,10C,4H,KC,4C,3H,Pair,0.5654
749,7H,KC,QS,5D,2C,High Card,0.1818
750,5S,9S,JS,7S,QS,Flush,0.9986
751,2D,4D,9H,6D,8D,High Card,0.0048
752,QH,KS,8H,8S,5C,Pair,0.731
753,10C,8H,7D,7C,AH,Pair,0.7042
754,5H,4C,4D,8H,KC,Pair,0.5852
755,3S,KS,3C,10C,10S,Two Pairs,0.9434
756,KD,8D,2C,9H,6D,High Card,0.1898
757,10H,4S,AS,JS,3C,High Card,0.339
758,8C,QH,KS,QD,AH,Pair,0.8904
759,5D,8C,JH,QS,JD,Pair,0.8282
760,3S,3H,8D,KD,8S,Two Pairs,0.9308
761,KD,QD,7D,AH,4D,High Card,0.3296
762,10H,8S,6C,AC,3C,High Card,0.3362
763,8C,3H,5C,2H,QH,High Card,0.0962
764,3D,QC,4S,9D,2C,High Card,0.1052
765,AS,7H,3D,6S,JH,High Card,0.3486
766,JC,3D,QH,5S,2D,High Card,0.0954
767,8H,QS,JH,4D,AC,High Card,0.3288
768,6C,7H,10D,5H,10H,Pair,0.7608
769,3D,3C,9D,7C,7D,Two Pairs,0.928
770,AS,JH,8C,6H,4S,High Card,0.3356
771,JC,7D,5C,8C,2H,High Card,0.0412
772,8H,3S,4S,9D,QC,High Card,0.0972
773,6C,JD,2H,9S,8H,High Card,0.0428
774,AD,7C,AH,10D,5D,Pair,0.9302
775,QS,2H,KD,2S,10D,Pair,0.492
776,9C,JD,QD,JC,KH,Pair,0.8506
777,6H,7S,9C,QH,10C,High Card,0.0994
778,4S,2D,8C,AC,6H,High Card,0.3388
779,AD,JC,7S,KH,3D,High Card,0.3366
780,QS,6H,6S,2S,10H,Pair,0.6478
781,9C,2D,4H,3D,JH,High Card,0.0454
782,6H,JS,3H,3S,8C,Pair,0.5352
783,4S,6D,KD,4C,5S,Pair,0.5812
784,QD,2C,3H,AD,4D,High Card,0.3298
785,9H,10H,JC,5C,KS,High Card,0.1842
786,7C,6D,10S,6H,9H,Pair,0.6636
787,4H,2S,9S,6S,6C,Pair,0.6296
788,2S,10D,7H,7D,3S,Pair,0.6614
789,QD,6C,4H,9S,AD,High Card,0.3328
790,9H,AH,3D,8D,JS,High Card,0.3338
791,7C,10C,2D,9H,7H,Pair,0.683
792,4H,6S,AC,JC,4C,Pair,0.5744
793,2S,AD,KC,10H,AS,Pair,0.9226
794,10D,10C,QS,QC,QD,Full House,0.9994
795,7H,5H,9S,KD,9C,Pair,0.746
796,5C,AC,7H,KS,5H,Pair,0.6136
797,2D,10S,6H,AD,2C,Pair,0.5056
798,KS,5D,3S,AS,8C,High Card,0.3462
799,10D,AC,4D,2C,2H,Pair,0.4942
800,7H,9H,AC,3H,7C,Pair,0.6896
801,5C,KS,3C,3H,6D,Pair,0.5392
802,2D,AS,QS,4D,KC,High Card,0.3254
803,KS,9D,10H,6S,QS,High Card,0.185
804,8D,5S,9H,5D,3S,Pair,0.5952
805,5H,KH,8D,7S,5C,Pair,0.629
806,3C,9C,5D,8C,AH,High Card,0.3248
807,KD,5S,4C,7H,AD,High Card,0.3476
808,JS,KD,3C,9C,10S,High Card,0.185
809,8C,9S,2S,10H,6D,High Card,0.0172
810,5H,4H,AS,10S,3C,High Card,0.3276
811,3C,KC,QH,JD,5C,High Card,0.1822
812,KD,9S,9H,KS,JD,Two Pairs,0.9648
813,JS,2D,8D,QD,8S,Pair,0.7362
814,6C,JS,7C,KH,4D,High Card,0.1862
815,3H,6H,6C,KC,AC,Pair,0.6384
816,AS,2C,5S,AH,QH,Pair,0.9318
817,JD,JS,4S,3S,9D,Pair,0.8074
818,9S,6D,KH,2D,6S,Pair,0.6412
819,6C,2S,QH,4S,2H,Pair,0.501
820,3H,10H,JD,5D,AC,High Card,0.3216
821,AS,6C,10D,4H,10H,Pair,0.7858
822,JD,AH,9C,6C,7D,High Card,0.3394
823,9S,10D,8C,7H,4S,High Card,0.0164
824,4C,6S,5S,7C,KH,High Card,0.179
825,AH,4S,8D,QC,JH,High Card,0.3372
826,QS,10C,2H,10S,8H,Pair,0.7852
827,9D,5H,AD,5D,KH,Pair,0.6218
828,6H,AD,KD,JS,2S,High Card,0.331
829,4C,10S,QC,KH,2H,High Card,0.1944
830,AH,5H,9C,JH,10C,High Card,0.3306
831,QS,AC,8S,KC,7S,High Card,0.3268
832,9D,9H,7S,QH,3D,Pair,0.7484
833,6H,5D,5H,AS,KS,Pair,0.6238
834,2C,AS,4H,2D,JH,Pair,0.5022
835,QD,9D,AD,2S,8C,High Card,0.3258
836,10S,5C,KD,3C,5S,Pair,0.6178
837,7D,KH,QC,4H,AD,High Card,0.3358
838,4H,9D,JC,4C,KS,Pair,0.5936
839,2C,5S,10S,5H,9H,Pair,0.603
840,QD,KD,8H,7S,6C,High Card,0.1966
841,10S,9C,5H,6D,3S,High Card,0.02
842,7D,4H,4D,8S,QD,Pair,0.5836
843,4H,KD,3D,9D,JC,High Card,0.192
844,KC,9S,2C,8H,7H,High Card,0.1864
845,10D,4D,AC,10C,4C,Two Pairs,0.9438
846,8S,KC,KS,JH,AS,Pair,0.9006
847,5C,8H,10S,JC,QD,High Card,0.0904
848,2H,4D,8H,QD,9C,High Card,0.0964
849,KC,KS,7H,QS,5H,Pair,0.8824
850,10D,8D,6D,KD,2D,High Card,0.189
851,8S,4C,5D,2S,QS,High Card,0.0982
852,5C,QH,4C,AC,10D,High Card,0.3308
853,2H,8C,AC,7C,8S,Pair,0.7094
854,JS,4S,KS,4C,3H,Pair,0.5622
855,8D,QD,JH,3D,KD,High Card,0.1778
856,6S,8C,10H,5S,QS,High Card,0.0974
857,3C,3H,9D,6D,8D,Pair,0.5464
858,KH,QC,8D,6S,5C,High Card,0.1862
859,JS,8S,5C,7C,AH,High Card,0.3352
860,8D,3D,4C,8H,JD,Pair,0.6998
861,6S,QC,3S,8C,10S,High Card,0.0928
862,3C,7H,2S,9H,6H,High Card,0.005
863,KH,3C,9S,8H,4H,High Card,0.1854
864,9S,QS,QH,10D,3C,Pair,0.8506
865,6D,7D,9D,QS,JD,High Card,0.0958
866,3H,3C,8D,JD,8S,Two Pairs,0.9392
867,AC,JH,7C,QH,4H,High Card,0.3278
868,JH,7C,6S,AC,9S,High Card,0.3368
869,9S,3S,5S,KH,10H,High Card,0.1832
870,6D,JD,AH,2S,9D,High Card,0.3246
871,3H,7S,KH,3D,6S,Pair,0.5436
872,AC,2H,QD,3S,KS,High Card,0.3252
873,JD,JC,4D,QC,9C,Pair,0.8046
874,7S,10C,5H,JS,3H,High Card,0.0456
875,4D,2D,9C,5C,7D,High Card,0.0052
876,AH,JS,6S,6H,4S,Pair,0.6462
877,QC,6H,5S,8C,KH,High Card,0.1882
878,9D,KC,3H,7D,QC,High Card,0.1868
879,7S,9S,2H,4C,9H,Pair,0.7364
880,4D,AD,8D,5D,JH,High Card,0.3412
881,AH,KS,KC,10S,2S,Pair,0.9022
882,QC,8H,10C,JC,JH,Pair,0.8272
883,9D,4C,9S,10H,10C,Two Pairs,0.9486
884,7S,QH,8S,QC,2D,Pair,0.8492
885,2C,8D,6H,KH,3D,High Card,0.1836
886,QH,4S,5H,KS,KC,Pair,0.8888
887,10C,QH,4D,AD,JH,High Card,0.339
888,7D,8C,AD,3S,8D,Pair,0.7022
889,5S,3H,KC,2C,2H,Pair,0.5068
890,2C,QD,QC,3H,AD,Pair,0.868
891,QH,8S,JS,5C,JC,Pair,0.8258
892,10S,3H,4H,9H,AC,High Card,0.3342
893,7D,QC,8H,6S,6C,Pair,0.6662
894,5S,7H,5D,7D,3S,Two Pairs,0.934
895,KC,3D,4D,7S,QD,High Card,0.1802
896,10H,QS,3C,8D,JC,High Card,0.0884
897,8S,7H,2C,AD,7C,Pair,0.6956
898,5D,3C,AS,9C,4D,High Card,0.3412
899,3S,JH,KS,10H,AS,High Card,0.3312
900,KC,7D,9H,10C,10D,Pair,0.7868
901,10H,3S,8H,JD,9C,High Card,0.0462
902,8S,JD,7D,KS,5H,High Card,0.18
903,5D,7C,6D,QD,2D,High Card,0.0932
904,2H,5C,AS,QS,3H,High Card,0.3302
905,JC,JD,2C,10D,3C,Pair,0.8082
906,8H,7S,AS,AH,7C,Two Pairs,0.9718
907,6S,2D,KS,3C,3H,Pair,0.5198
908,3D,JC,JH,4D,KD,Pair,0.8222
909,KH,6H,10D,4S,10S,Pair,0.7844
910,JC,2D,9D,5D,8H,High Card,0.0438
911,8D,JS,6C,5S,5C,Pair,0.6244
912,6S,6D,5C,6C,AH,Three-of-a-Kind,0.9812
913,3D,2C,4S,7H,JD,High Card,0.0464
914,KH,10H,3S,7C,10S,Pair,0.7928
915,9C,6C,AH,8H,6H,Pair,0.668
916,6D,2S,KH,10S,3C,High Card,0.1836
917,4S,10D,9D,QH,AS,High Card,0.3262
918,AD,6C,9D,JS,8D,High Card,0.3248
919,JH,AH,8C,QD,8S,Pair,0.7522
920,9C,10C,7C,JH,4H,High Card,0.0402
921,6D,6S,KC,AC,4H,Pair,0.6488
922,4S,AD,4H,AH,JS,Two Pairs,0.9714
923,AC,10C,AH,AS,9D,Three-of-a-Kind,0.995
924,JH,5H,KD,2D,6S,High Card,0.1822
925,7C,AC,QD,4S,2H,High Card,0.3274
926,4D,10S,JC,3D,QC,High Card,0.0928
927,2S,5D,10C,4H,9S,High Card,0.0152
928,QC,AC,9S,4C,7D,High Card,0.3336
929,9H,6S,5H,4S,3D,High Card,0.0064
930,7S,5C,4H,7C,KH,Pair,0.667
931,4D,AS,3H,6D,10C,High Card,0.332
932,2S,9D,2D,8S,9S,Two Pairs,0.9364
933,QC,5S,AD,9D,5D,Pair,0.6334
934,9H,KH,KC,9S,2C,Two Pairs,0.9596
935,5S,9C,10S,10C,JH,Pair,0.7796
936,2D,5S,9S,JH,10C,High Card,0.0424
937,KS,KD,7H,JC,7S,Two Pairs,0.9636
938,10C,9S,6H,QH,3D,High Card,0.0914
939,7H,4H,5D,AS,KC,High Card,0.3474
940,5S,KC,4D,KD,9H,Pair,0.881
941,2D,9S,AC,2S,8C,Pair,0.5176
942,QH,4D,KC,3C,5S,High Card,0.1836
943,10C,JS,QS,2H,AD,High Card,0.342
944,7H,6H,JS,4C,JC,Pair,0.8012
945,3S,2C,9H,3H,10S,Pair,0.5218
946,KD,10H,6H,5S,6D,Pair,0.65
947,10H,6D,5D,3S,AS,High Card,0.3342
948,8C,2S,4D,6S,QD,High Card,0.0964
949,5D,10H,3C,7D,9C,High Card,0.0184
950,3S,6C,2S,8H,7H,High Card,0.0004
951,KD,AH,AS,8C,4D,Pair,0.9266
952,10H,10D,9H,AS,AC,Two Pairs,0.9702
953,8C,6S,9H,JC,10D,High Card,0.0446
954,5D,AH,8D,10D,9C,High Card,0.3328
955,AS,10C,7D,QS,5H,High Card,0.3306
956,JD,5H,6C,KD,2D,High Card,0.1832
957,8H,AD,5C,KS,QS,High Card,0.3424
958,6C,10S,2S,AC,8H,High Card,0.344
959,3D,5H,AS,2H,7C,High Card,0.335
960,AS,AC,QH,2C,3H,Pair,0.9216
961,JC,9H,JH,3D,KD,Pair,0.8292
962,8H,5D,10D,3S,10S,Pair,0.7736
963,6C,AS,9C,4D,8H,High Card,0.3378
964,3D,9D,6C,6S,5C,Pair,0.6212
965,QS,5C,5S,AH,JD,Pair,0.6212
966,9C,KH,4S,6H,JD,High Card,0.19
967,6H,9D,2H,8C,8S,Pair,0.6868
968,4S,5S,AH,7H,6H,High Card,0.3454
969,AD,KD,9S,3C,2C,High Card,0.324
970,QS,9C,10D,KS,JH,Straight,0.997
971,9C,4H,10S,9D,6C,Pair,0.7432
972,6H,KD,8C,JD,8S,Pair,0.728
973,4S,9S,7S,QH,4H,Pair,0.5862
974,AD,4D,6S,QC,AC,Pair,0.9202
975,10S,KC,4H,KH,JS,Pair,0.8822
976,7C,8H,AD,KC,7D,Pair,0.7146
977,4H,4C,KD,AD,6S,Pair,0.601
978,2S,KS,QC,3S,2H,Pair,0.5148
979,QD,8D,JC,2D,QC,Pair,0.8398
980,9H,4C,10S,3H,9S,Pair,0.7488
981,7C,QH,7S,5C,7D,Three-of-a-Kind,0.9798
982,4H,8C,5H,4C,AD,Pair,0.5872
983,2S,4S,4H,6C,KH,Pair,0.5648
984,QD,3D,7D,10C,3C,Pair,0.5456
985,7H,8C,2D,7S,10H,Pair,0.6876
986,5C,3H,AC,8D,5D,Pair,0.6026
987,2H,QC,JC,10S,2C,Pair,0.501
988,KS,8S,10S,9C,JH,High Card,0.186
989,10D,3D,8H,10H,8C,Two Pairs,0.9368
990,7H,QC,7S,JC,7C,Three-of-a-Kind,0.9834
991,5C,7H,6D,JH,3D,High Card,0.0424
992,2D,3C,5D,KS,KC,Pair,0.8796
993,KS,QS,2C,QD,9H,Pair,0.8664
994,10D,7D,AC,AS,8D,Pair,0.9192
995,5H,3S,KS,2C,5S,Pair,0.598
996,3C,JH,QS,AH,AD,Pair,0.93
997,KD,7C,10H,3C,JC,High Card,0.1888
998,JS,3S,9H,4H,7H,High Card,0.0446
999,8C,JD,6D,4S,2C,High Card,0.048
1000,5H,7S,5D,3S,JH,Pair,0.607
